Site,Source,Date,Season,Time,Air Temp (C),cfs,cms,temp,pH,orp,spc,O18,D,D_Ex,Na,Mg,K,Ca,F,Cl,NO2,Br,NO3,Phosphate,Sulphate,Alk,BiCarb
Castle,C aqifer,7/12/2018,Summer,17:30,15,0.004769753,0.000135064,9.7,7.59,,363.7,-13.27599211,-97.3177021,8.890234751,2.281400991,23.16693179,0.976599722,42.99305282,0.084216363,2.678099042,0,0,0,0,4.790406244,204,248.88
Castle,C aqifer,8/4/2018,Autumn,17:00,24,0.005141496,0.000145591,10.07,7.22,226.2,525,-14.01054306,-97.73344236,14.35090212,2.609478522,25.06276188,1.875142574,45.72234812,0.086831866,2.205005569,0,0.128562419,0.241514491,0.181261224,3.98213196,230,280.6
Castle,C aqifer,8/31/2018,Autumn,18:00,21,,,10.3,7.71,,369,-14.05107443,-98.38308952,14.02550593,3.165690555,25.2301111,2.543128518,42.95784321,0.088203836,2.144775071,0.804753273,0,0.234839017,0,3.856034689,240,292.8
Castle,C aqifer,10/6/2018,Autumn,17:45,7.5,0.005389906,0.000152625,8.7,7.63,356.5,400.5,-13.6524656,-97.34841397,11.87131082,3.082087733,24.85967346,2.449935427,45.33314226,0.093088764,2.197949329,0,0,0.159597996,0,3.953839786,212,258.64
Castle,C aqifer,10/14/2018,Autumn,10:14,8.3,0.004693638,0.000132909,9.2,7.57,191.4,394.1,-13.73071081,-99.24490348,10.60078303,2.702388649,25.139902,2.266686933,42.81322562,0.088057805,2.191005463,0.062919511,0,0.162031731,0,3.920608676,188,229.36
Castle,C aqifer,11/10/2018,Winter,10:25,6.4,0.004451891,0.000126064,6.7,7.25,272.5,386,-12.8991259,-96.6797819,6.513225287,,,,,,,,,,,,,
Castle,C aqifer,12/15/2018,Winter,13:30,15,0.001533184,4.34E-05,9.9,7.35,180.6,385.6,-13.46721407,-97.92709168,9.810620893,,,,,,,,,,,,,
North Canyon,C aqifer,11/11/2017,Winter,10:00,10,0.013474998,0.00038157,,,,,-13.59436338,-96.78613345,11.9687736,1.346630242,21.81355623,0.246098546,36.72081599,0.058902355,1.009287374,0.00726285,0,0.053495201,0.050405693,1.985118471,,
North Canyon,C aqifer,12/19/2017,Winter,10:00,0,,,4,8.15,76.5,343,-13.52338172,-97.12577944,11.06127431,1.157637131,24.03749161,0.573313691,42.550716,0.052428879,0.981709405,0,0,0.139596767,0.037517644,2.0290962,,
North Canyon,C aqifer,6/28/2018,Summer,10:40,21,0.007026628,0.000198972,6.33,7.78,190.9,336,-13.42491748,-96.80623733,10.59310247,0.927612406,19.46595626,0.17281002,37.25224299,0.065970438,1.049305854,0,0,0,0,2.241162318,,
North Canyon,C aqifer,8/6/2018,Autumn,15:04,23,,,,,,,-14.35826587,-98.1391909,16.72693605,2.278322895,24.35530315,2.323310894,39.69519931,0.07503497,0.926366267,0,0,0.058189403,0,2.085406015,210,256.2
North Canyon,C aqifer,9/1/2018,Autumn,14:00,22,0.025447532,0.000720594,6.7,8.32,,350.8,-13.19913744,-96.76571604,8.827383486,1.702770918,24.63503986,2.060332868,45.98066002,0.083406271,1.278427652,0,0,0.130676894,0.201732139,1.888862087,208,253.76
North Canyon,C aqifer,9/2/2018,Autumn,10:30,,,,,,,,-13.96066198,-96.2253549,15.45994096,1.672429164,23.97707677,1.876365305,40.36409944,0.071756461,0.963150524,0,0,0.11117047,0.170684702,2.089525585,200,244
North Canyon,C aqifer,10/6/2018,Autumn,13:00,8,0.291889464,0.008265391,5.6,8.74,176.4,349.9,-13.79923238,-97.14525561,13.24860343,1.404461296,24.22001792,1.485168053,39.43100053,0.07778117,1.036387751,0,0,0,0,2.124210195,,
North Canyon,C aqifer,10/14/2018,Autumn,12:00,4.3,0.117104145,0.003316021,5,8.35,172.2,341.7,-14.56586185,-97.66497401,18.86192077,1.404461296,24.22001792,1.485168053,39.43100053,0.073084072,0.987677373,0,0,0,0,2.121296602,198,241.56
North Canyon,C aqifer,11/11/2018,Winter,10:00,-5,0.101062482,0.002861771,3.9,8.37,207.6,317.4,-14.00239191,-97.45396958,14.56516568,,,,,,,,,,,,,
North Canyon,C aqifer,12/16/2018,Winter,14:08,1,0.100260398,0.002839059,2.8,8.45,184.2,315.5,-13.80141028,-97.17015079,13.24113142,,,,,,,,,,,,,
Quaking Aspen,C aqifer,5/24/2018,Summer,11:30,23,0.00474813,0.000134452,9.01,6.91,202.7,465,-13.58035675,-93.5696019,15.07325206,1.307677062,23.59262809,0.357096429,66.01850562,0.056668029,0.798092047,0,0,0,0.17728067,1.595012367,230,280.6
Quaking Aspen,C aqifer,6/26/2018,Summer,15:10,26,,,9.6,7.27,182.8,443.8,-12.98501788,-93.16294822,10.71719482,1.18284113,24.71381254,0.297201259,64.47603563,0.086903722,1.051857986,0,0,0,0,2.224504348,326,397.72
Quaking Aspen,C aqifer,7/13/2018,Summer,17:50,16,0.003884613,0.00011,9.4,7.8,,455.3,-13.1917912,-92.67366118,12.86066842,1.201227083,25.41565198,0.390651161,67.47606427,0.07835287,1.012190407,0,0,0,0.663658205,2.363566942,312,380.64
Quaking Aspen,C aqifer,8/5/2018,Autumn,14:15,23,0.007062932,0.0002,10.48,7.06,228.5,619,-12.65764853,-93.05992199,8.201266272,1.897166729,28.37807368,2.037455439,70.94065602,0.095065043,0.969462923,0.068869668,0,0.171487104,0.448152921,2.166271568,284,346.48
